year,season,district_name,mandal_name,crop,normal_area,actual_area
2018-2019,Kharif,Adilabad,Adilabad U,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Jainath,Sugarcane,1,2
2018-2019,Kharif,Adilabad,Bela,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Ichoda,Sugarcane,0,2
2018-2019,Kharif,Adilabad,Srikonda,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Utnoor,Sugarcane,1,2
2018-2019,Kharif,Adilabad,Inderavelly,Sugarcane,0,1
2018-2019,Kharif,Adilabad,Narnoor,Sugarcane,1,0
2018-2019,Kharif,Adilabad,Gadiguda,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Boath,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Bheempur,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Tamsi,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Sugarcane,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Potato,0,0
2018-2019,Kharif,Adilabad,Mavala,Potato,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Potato,0,0
2018-2019,Kharif,Adilabad,Jainath,Potato,0,0
2018-2019,Kharif,Adilabad,Bela,Potato,0,0
2018-2019,Kharif,Adilabad,Ichoda,Potato,0,0
2018-2019,Kharif,Adilabad,Srikonda,Potato,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Potato,0,0
2018-2019,Kharif,Adilabad,Utnoor,Potato,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Potato,0,0
2018-2019,Kharif,Adilabad,Narnoor,Potato,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Potato,0,0
2018-2019,Kharif,Adilabad,Boath,Potato,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Potato,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Potato,0,0
2018-2019,Kharif,Adilabad,Bheempur,Potato,0,0
2018-2019,Kharif,Adilabad,Tamsi,Potato,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Potato,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Onion,0,0
2018-2019,Kharif,Adilabad,Mavala,Onion,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Onion,0,0
2018-2019,Kharif,Adilabad,Jainath,Onion,0,0
2018-2019,Kharif,Adilabad,Bela,Onion,0,0
2018-2019,Kharif,Adilabad,Ichoda,Onion,0,0
2018-2019,Kharif,Adilabad,Srikonda,Onion,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Onion,0,0
2018-2019,Kharif,Adilabad,Utnoor,Onion,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Onion,0,0
2018-2019,Kharif,Adilabad,Narnoor,Onion,1,0
2018-2019,Kharif,Adilabad,Gadiguda,Onion,0,0
2018-2019,Kharif,Adilabad,Boath,Onion,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Onion,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Onion,0,0
2018-2019,Kharif,Adilabad,Bheempur,Onion,0,0
2018-2019,Kharif,Adilabad,Tamsi,Onion,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Onion,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Other Food Crops,136,109
2018-2019,Kharif,Adilabad,Mavala,Other Food Crops,15,43
2018-2019,Kharif,Adilabad,Adilabad U,Other Food Crops,3,23
2018-2019,Kharif,Adilabad,Jainath,Other Food Crops,55,183
2018-2019,Kharif,Adilabad,Bela,Other Food Crops,44,85
2018-2019,Kharif,Adilabad,Ichoda,Other Food Crops,100,212
2018-2019,Kharif,Adilabad,Srikonda,Other Food Crops,13,96
2018-2019,Kharif,Adilabad,Gudihathnoor,Other Food Crops,197,791
2018-2019,Kharif,Adilabad,Utnoor,Other Food Crops,147,152
2018-2019,Kharif,Adilabad,Inderavelly,Other Food Crops,69,578
2018-2019,Kharif,Adilabad,Narnoor,Other Food Crops,54,41
2018-2019,Kharif,Adilabad,Gadiguda,Other Food Crops,28,4
2018-2019,Kharif,Adilabad,Boath,Other Food Crops,43,70
2018-2019,Kharif,Adilabad,Bazarhatnoor,Other Food Crops,32,50
2018-2019,Kharif,Adilabad,Neradigonda,Other Food Crops,37,79
2018-2019,Kharif,Adilabad,Bheempur,Other Food Crops,5,31
2018-2019,Kharif,Adilabad,Tamsi,Other Food Crops,10,59
2018-2019,Kharif,Adilabad,Talamadugu,Other Food Crops,70,90
2018-2019,Kharif,Adilabad,Adilabad R,Cotton,10451,10442
2018-2019,Kharif,Adilabad,Mavala,Cotton,264,554
2018-2019,Kharif,Adilabad,Adilabad U,Cotton,38,139
2018-2019,Kharif,Adilabad,Jainath,Cotton,13941,12343
2018-2019,Kharif,Adilabad,Bela,Cotton,11398,10632
2018-2019,Kharif,Adilabad,Ichoda,Cotton,8345,9219
2018-2019,Kharif,Adilabad,Srikonda,Cotton,1212,3847
2018-2019,Kharif,Adilabad,Gudihathnoor,Cotton,6930,7502
2018-2019,Kharif,Adilabad,Utnoor,Cotton,8071,11743
2018-2019,Kharif,Adilabad,Inderavelly,Cotton,7675,9973
2018-2019,Kharif,Adilabad,Narnoor,Cotton,8377,7777
2018-2019,Kharif,Adilabad,Gadiguda,Cotton,1000,7715
2018-2019,Kharif,Adilabad,Boath,Cotton,9236,9316
2018-2019,Kharif,Adilabad,Bazarhatnoor,Cotton,6818,8233
2018-2019,Kharif,Adilabad,Neradigonda,Cotton,5841,6678
2018-2019,Kharif,Adilabad,Bheempur,Cotton,2875,9000
2018-2019,Kharif,Adilabad,Tamsi,Cotton,9699,5213
2018-2019,Kharif,Adilabad,Talamadugu,Cotton,12109,12124
2018-2019,Kharif,Adilabad,Adilabad R,Mesta,0,0
2018-2019,Kharif,Adilabad,Mavala,Mesta,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Mesta,0,0
2018-2019,Kharif,Adilabad,Jainath,Mesta,0,0
2018-2019,Kharif,Adilabad,Bela,Mesta,0,0
2018-2019,Kharif,Adilabad,Ichoda,Mesta,0,0
2018-2019,Kharif,Adilabad,Srikonda,Mesta,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Mesta,0,0
2018-2019,Kharif,Adilabad,Utnoor,Mesta,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Mesta,0,0
2018-2019,Kharif,Adilabad,Narnoor,Mesta,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Mesta,0,0
2018-2019,Kharif,Adilabad,Boath,Mesta,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Mesta,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Mesta,0,0
2018-2019,Kharif,Adilabad,Bheempur,Mesta,0,0
2018-2019,Kharif,Adilabad,Tamsi,Mesta,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Mesta,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Groundnut,0,0
2018-2019,Kharif,Adilabad,Mavala,Groundnut,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Groundnut,0,0
2018-2019,Kharif,Adilabad,Jainath,Groundnut,0,0
2018-2019,Kharif,Adilabad,Bela,Groundnut,0,0
2018-2019,Kharif,Adilabad,Ichoda,Groundnut,0,0
2018-2019,Kharif,Adilabad,Srikonda,Groundnut,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Groundnut,0,0
2018-2019,Kharif,Adilabad,Utnoor,Groundnut,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Groundnut,0,8
2018-2019,Kharif,Adilabad,Narnoor,Groundnut,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Groundnut,0,0
2018-2019,Kharif,Adilabad,Boath,Groundnut,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Groundnut,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Groundnut,0,0
2018-2019,Kharif,Adilabad,Bheempur,Groundnut,0,0
2018-2019,Kharif,Adilabad,Tamsi,Groundnut,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Groundnut,0,0
2018-2019,Kharif,Adilabad,Adilabad R,Seasumum,1,6
2018-2019,Kharif,Adilabad,Mavala,Seasumum,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Seasumum,0,0
2018-2019,Kharif,Adilabad,Jainath,Seasumum,0,0
2018-2019,Kharif,Adilabad,Bela,Seasumum,2,0
2018-2019,Kharif,Adilabad,Ichoda,Seasumum,1,0
2018-2019,Kharif,Adilabad,Srikonda,Seasumum,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Seasumum,8,1
2018-2019,Kharif,Adilabad,Utnoor,Seasumum,4,0
2018-2019,Kharif,Adilabad,Inderavelly,Seasumum,1,2
2018-2019,Kharif,Adilabad,Narnoor,Seasumum,40,5
2018-2019,Kharif,Adilabad,Gadiguda,Seasumum,21,5
2018-2019,Kharif,Adilabad,Boath,Seasumum,3,5
2018-2019,Kharif,Adilabad,Bazarhatnoor,Seasumum,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Seasumum,0,0
2018-2019,Kharif,Adilabad,Bheempur,Seasumum,0,0
2018-2019,Kharif,Adilabad,Tamsi,Seasumum,0,0
2018-2019,Kharif,Adilabad,Talamadugu,Seasumum,5,0
2018-2019,Kharif,Adilabad,Adilabad R,Sunflower,0,0
2018-2019,Kharif,Adilabad,Mavala,Sunflower,0,0
2018-2019,Kharif,Adilabad,Adilabad U,Sunflower,0,0
2018-2019,Kharif,Adilabad,Jainath,Sunflower,0,0
2018-2019,Kharif,Adilabad,Bela,Sunflower,0,0
2018-2019,Kharif,Adilabad,Ichoda,Sunflower,0,0
2018-2019,Kharif,Adilabad,Srikonda,Sunflower,0,0
2018-2019,Kharif,Adilabad,Gudihathnoor,Sunflower,0,0
2018-2019,Kharif,Adilabad,Utnoor,Sunflower,0,0
2018-2019,Kharif,Adilabad,Inderavelly,Sunflower,0,0
2018-2019,Kharif,Adilabad,Narnoor,Sunflower,0,0
2018-2019,Kharif,Adilabad,Gadiguda,Sunflower,0,0
2018-2019,Kharif,Adilabad,Boath,Sunflower,0,0
2018-2019,Kharif,Adilabad,Bazarhatnoor,Sunflower,0,0
2018-2019,Kharif,Adilabad,Neradigonda,Sunflower,0,0
2018-2019,Kharif,Adilabad,Bheempur,Sunflower,0,0
2018-2019,Kharif,Adilabad,Tamsi,Sunflower,0,0
